storage,scenario,timepoint,discharge_MW,charge_MW,state_of_charge_MWh
cats_1,sc1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_1,sc1,2035-01-01T01:00:00.000000-0800,0.0,0.0,0.0
cats_1,sc1,2035-01-01T02:00:00.000000-0800,0.0,0.0,0.0
cats_1,sc1,2035-01-01T03:00:00.000000-0800,0.0,0.0,0.0
cats_1,sc1,2035-01-01T04:00:00.000000-0800,0.0,0.0,0.0
cats_1,sc1,2035-01-01T05:00:00.000000-0800,0.0,0.0,0.0
cats_1,sc1,2035-01-01T06:00:00.000000-0800,0.0,0.0,0.0
cats_1,sc1,2035-01-01T07:00:00.000000-0800,0.0,0.0,0.0
cats_1,sc1,2035-01-01T08:00:00.000000-0800,0.0,0.0,0.0
cats_1,sc1,2035-01-01T09:00:00.000000-0800,0.0,0.0,0.0
cats_1,sc1,2035-01-01T10:00:00.000000-0800,0.0,0.0,0.0
cats_1,sc1,2035-01-01T11:00:00.000000-0800,0.0,0.0,0.0
cats_1,sc1,2035-01-01T12:00:00.000000-0800,0.0,0.0,0.0
cats_1,sc1,2035-01-01T13:00:00.000000-0800,0.0,0.0,0.0
cats_1,sc1,2035-01-01T14:00:00.000000-0800,0.0,0.0,0.0
cats_1,sc1,2035-01-01T15:00:00.000000-0800,0.0,0.0,0.0
cats_1,sc1,2035-01-01T16:00:00.000000-0800,0.0,0.0,0.0
cats_1,sc1,2035-01-01T17:00:00.000000-0800,0.0,0.0,0.0
cats_1,sc1,2035-01-01T18:00:00.000000-0800,0.0,0.0,0.0
cats_1,sc1,2035-01-01T19:00:00.000000-0800,0.0,0.0,0.0
cats_1,sc1,2035-01-01T20:00:00.000000-0800,0.0,0.0,0.0
cats_1,sc1,2035-01-01T21:00:00.000000-0800,0.0,0.0,0.0
cats_1,sc1,2035-01-01T22:00:00.000000-0800,0.0,0.0,0.0
cats_1,sc1,2035-01-01T23:00:00.000000-0800,0.0,0.0,0.0
cats_2,sc1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_2,sc1,2035-01-01T01:00:00.000000-0800,0.0,0.0,0.0
cats_2,sc1,2035-01-01T02:00:00.000000-0800,0.0,0.0,0.0
cats_2,sc1,2035-01-01T03:00:00.000000-0800,0.0,0.0,0.0
cats_2,sc1,2035-01-01T04:00:00.000000-0800,0.0,0.0,0.0
cats_2,sc1,2035-01-01T05:00:00.000000-0800,0.0,0.0,0.0
cats_2,sc1,2035-01-01T06:00:00.000000-0800,0.0,0.0,0.0
cats_2,sc1,2035-01-01T07:00:00.000000-0800,0.0,0.0,0.0
cats_2,sc1,2035-01-01T08:00:00.000000-0800,0.0,0.0,0.0
cats_2,sc1,2035-01-01T09:00:00.000000-0800,0.0,0.0,0.0
cats_2,sc1,2035-01-01T10:00:00.000000-0800,0.0,0.0,0.0
cats_2,sc1,2035-01-01T11:00:00.000000-0800,0.0,0.0,0.0
cats_2,sc1,2035-01-01T12:00:00.000000-0800,0.0,0.0,0.0
cats_2,sc1,2035-01-01T13:00:00.000000-0800,0.0,0.0,0.0
cats_2,sc1,2035-01-01T14:00:00.000000-0800,0.0,0.0,0.0
cats_2,sc1,2035-01-01T15:00:00.000000-0800,0.0,0.0,0.0
cats_2,sc1,2035-01-01T16:00:00.000000-0800,0.0,0.0,0.0
cats_2,sc1,2035-01-01T17:00:00.000000-0800,0.0,0.0,0.0
cats_2,sc1,2035-01-01T18:00:00.000000-0800,0.0,0.0,0.0
cats_2,sc1,2035-01-01T19:00:00.000000-0800,0.0,0.0,0.0
cats_2,sc1,2035-01-01T20:00:00.000000-0800,0.0,0.0,0.0
cats_2,sc1,2035-01-01T21:00:00.000000-0800,0.0,0.0,0.0
cats_2,sc1,2035-01-01T22:00:00.000000-0800,0.0,0.0,0.0
cats_2,sc1,2035-01-01T23:00:00.000000-0800,0.0,0.0,0.0
cats_3,sc1,2035-01-01T00:00:00.000000-0800,0.0,0.0,0.0
cats_3,sc1,2035-01-01T01:00:00.000000-0800,0.0,0.0,0.0
cats_3,sc1,2035-01-01T02:00:00.000000-0800,0.0,0.0,0.0
cats_3,sc1,2035-01-01T03:00:00.000000-0800,0.0,0.0,0.0
cats_3,sc1,2035-01-01T04:00:00.000000-0800,0.0,0.0,0.0
cats_3,sc1,2035-01-01T05:00:00.000000-0800,0.0,0.0,0.0
cats_3,sc1,2035-01-01T06:00:00.000000-0800,0.0,0.0,0.0
cats_3,sc1,2035-01-01T07:00:00.000000-0800,0.0,0.0,0.0
cats_3,sc1,2035-01-01T08:00:00.000000-0800,0.0,0.0,0.0
cats_3,sc1,2035-01-01T09:00:00.000000-0800,0.0,0.0,0.0
cats_3,sc1,2035-01-01T10:00:00.000000-0800,0.0,0.0,0.0
cats_3,sc1,2035-01-01T11:00:00.000000-0800,0.0,0.0,0.0
cats_3,sc1,2035-01-01T12:00:00.000000-0800,0.0,0.0,0.0
cats_3,sc1,2035-01-01T13:00:00.000000-0800,0.0,0.0,0.0
cats_3,sc1,2035-01-01T14:00:00.000000-0800,0.0,0.0,0.0
cats_3,sc1,2035-01-01T15:00:00.000000-0800,0.0,0.0,0.0
cats_3,sc1,2035-01-01T16:00:00.000000-0800,0.0,0.0,0.0
cats_3,sc1,2035-01-01T17:00:00.000000-0800,0.0,0.0,0.0
cats_3,sc1,2035-01-01T18:00:00.000000-0800,0.0,0.0,0.0
